Frame_ID,Capture_ms,Encode_Send_ms,Network_ms,Decode_ms,YOLO_ms,Lane_ms,Decision_ms,Send_ms,GPIO_ms,Total_ms
619,2.501,5.145,9.178,1.601,230.833,7.695,0.018,0.157,0.017,257.249
620,2.503,5.033,8.61,1.234,230.14,2.826,0.016,0.173,0.018,250.664
621,2.515,5.13,9.786,1.251,230.709,3.288,0.016,0.195,0.017,253.006
622,2.494,5.221,9.281,1.22,240.33,2.776,0.027,0.158,0.017,261.606
623,2.514,5.118,11.166,1.287,234.189,3.262,0.016,0.176,0.016,257.826
624,2.528,5.22,8.638,1.406,232.904,2.88,0.017,0.143,0.016,253.832
625,2.876,5.417,8.435,1.397,233.429,2.911,0.016,0.144,0.017,254.728
626,2.518,5.23,9.015,1.369,242.455,3.08,0.016,0.17,0.017,263.952
627,2.528,5.196,9.738,1.245,234.434,2.658,0.016,0.137,0.017,256.05
628,2.522,5.209,11.057,1.33,227.411,3.081,0.019,0.161,0.018,250.908
629,3.668,5.335,9.59,1.219,232.519,2.568,0.016,0.194,0.017,255.214
630,2.511,5.23,9.217,1.268,236.22,2.666,0.015,0.143,0.017,257.368
631,2.549,5.151,9.38,1.465,235.709,3.353,0.024,0.169,0.018,257.898
632,2.52,5.164,9.784,1.359,235.675,3.182,0.027,0.146,0.032,258.002
633,3.262,13.554,9.996,1.97,228.367,3.669,0.028,0.178,0.017,261.166
634,2.529,5.186,10.008,1.218,239.814,3.593,0.024,0.19,0.017,262.66
635,2.507,5.176,10.649,1.575,238.604,5.231,0.04,0.158,0.017,264.037
636,2.782,5.25,9.856,1.361,237.829,4.092,0.015,0.15,0.017,261.435
637,2.489,5.148,9.322,1.241,231.07,7.45,0.014,0.24,0.017,257.071
638,2.516,5.15,9.114,1.209,234.878,9.018,0.014,0.155,0.017,262.165
639,2.546,5.216,9.65,1.231,235.437,7.297,0.014,0.165,0.018,261.667
640,3.582,5.303,11.185,1.213,234.676,9.772,0.02,0.195,0.018,266.066
641,2.492,5.224,9.487,1.35,232.508,6.57,0.014,0.193,0.018,257.952
642,2.509,5.143,9.578,1.214,229.468,4.559,0.018,0.161,0.017,252.762
643,2.477,5.15,10.737,1.391,235.868,3.684,0.019,0.171,0.017,259.598
644,2.517,5.251,9.753,1.225,235.378,6.728,0.015,0.151,0.017,261.115
645,2.538,5.122,8.781,1.514,232.216,2.929,0.017,0.156,0.017,253.382
646,2.514,5.158,9.306,1.541,230.328,9.978,0.016,0.187,0.017,259.14
647,2.914,5.17,9.425,1.208,258.245,15.089,0.052,0.204,0.126,292.523
648,2.502,5.115,9.793,1.388,232.465,4.642,0.033,0.166,0.13,256.333
649,2.5,5.062,9.031,1.274,228.338,4.139,0.015,0.139,0.017,250.622
650,2.505,5.119,9.678,1.176,231.254,8.033,0.015,0.212,0.017,258.089
651,2.527,5.075,9.505,1.183,232.572,13.827,0.024,0.16,0.037,265.049
652,3.51,15.141,10.678,2.075,242.199,11.445,0.024,0.161,0.037,285.454
653,3.566,15.178,9.406,1.228,232.244,7.108,0.015,0.179,0.017,269.217
654,2.753,5.256,8.996,1.232,229.324,3.15,0.016,0.163,0.016,251.003
655,2.513,5.168,9.192,1.232,230.091,2.816,0.015,0.146,0.017,251.288
656,2.541,5.201,9.15,1.233,235.443,2.556,0.016,0.14,0.017,256.378
657,2.491,5.145,9.122,1.24,229.245,2.785,0.016,0.143,0.016,250.284
658,3.583,5.65,8.821,1.241,229.725,7.13,0.014,0.159,0.018,256.436
659,2.483,5.061,9.712,1.183,228.709,3.587,0.015,0.156,0.017,251.016
660,2.484,5.08,11.033,1.276,239.522,3.953,0.017,0.181,0.017,263.661
661,2.511,5.048,9.506,1.199,232.521,3.576,0.016,0.143,0.017,254.62
662,2.5,4.989,10.473,1.59,238.437,4.836,0.02,0.177,0.016,263.124
663,2.504,4.922,8.928,1.157,228.256,3.317,0.016,0.145,0.017,249.346
664,2.543,4.962,8.952,1.596,225.496,4.665,0.022,0.146,0.016,248.483
665,2.507,5.017,10.962,1.179,237.645,3.939,0.021,0.173,0.017,261.545
666,2.503,4.995,10.509,1.342,235.333,3.841,0.016,0.148,0.017,258.787
667,2.491,4.904,8.118,1.135,229.359,3.519,0.015,0.137,0.017,249.775
668,2.515,4.868,9.25,1.255,229.62,4.12,0.017,0.139,0.017,251.881
669,3.762,5.235,10.798,1.542,234.913,3.888,0.02,0.185,0.017,260.449
670,2.532,4.915,8.606,1.241,228.803,3.584,0.015,0.138,0.018,249.947
671,2.518,4.917,8.974,1.306,230.691,3.232,0.016,0.141,0.017,251.891
672,2.505,4.979,9.146,1.228,231.149,3.398,0.015,0.14,0.022,252.676
673,4.383,14.54,11.469,2.014,235.818,3.933,0.021,0.18,0.017,272.483
674,2.513,5.035,11.17,1.354,233.207,6.712,0.013,0.214,0.016,260.318
675,2.558,5.07,8.737,1.204,229.022,3.146,0.015,0.154,0.017,250.017
676,2.506,5.065,10.14,1.461,229.419,3.82,0.022,0.141,0.017,252.691
677,2.535,5.101,9.377,1.836,230.484,3.23,0.015,0.134,0.017,252.812
678,2.525,5.094,9.983,1.593,230.458,6.617,0.014,0.164,0.017,256.546
679,2.503,5.174,10.553,1.333,227.429,6.509,0.015,0.155,0.017,253.78
680,3.212,5.262,8.816,1.34,234.48,8.497,0.015,0.162,0.017,261.904
681,2.523,5.067,9.395,1.323,225.561,7.962,0.032,0.16,0.017,252.133
682,2.501,5.169,9.271,1.194,225.754,8.613,0.019,0.161,0.016,252.795
683,2.539,5.008,10.481,1.187,235.425,12.182,0.019,0.163,0.017,267.116
684,4.303,5.287,9.571,1.184,241.51,8.096,0.014,0.172,0.017,270.258
685,2.509,5.071,8.659,1.261,232.131,8.218,0.016,0.153,0.018,258.131
686,2.506,5.078,9.568,1.318,229.746,7.577,0.015,0.158,0.017,256.082
687,2.53,5.106,9.766,1.239,233.659,8.333,0.018,0.154,0.016,260.912
688,2.508,5.14,9.199,1.181,237.959,7.365,0.015,0.153,0.017,263.63
689,2.533,5.021,10.088,1.578,229.75,7.347,0.015,0.149,0.017,256.592
690,2.508,5.078,10.236,1.65,230.002,10.863,0.025,0.228,0.016,260.697
691,2.819,5.116,9.953,1.205,227.742,8.939,0.026,0.165,0.033,256.146
692,3.356,11.076,9.236,1.203,239.949,8.473,0.023,0.154,0.017,273.637
693,2.491,5.16,9.611,1.361,232.309,8.531,0.015,0.173,0.017,259.767
694,2.486,5.071,9.187,1.213,233.443,10.292,0.018,0.16,0.017,261.983
695,2.532,5.122,10.9,1.54,228.443,4.686,0.016,0.151,0.017,253.499
696,2.547,5.078,10.249,1.229,237.927,5.082,0.016,0.148,0.018,262.393
697,2.49,5.039,8.372,1.321,233.709,8.264,0.015,0.162,0.017,259.475
698,2.57,4.988,9.325,1.261,239.835,4.379,0.015,0.157,0.018,262.643
699,2.499,5.105,8.749,1.363,229.944,7.725,0.014,0.168,0.018,255.683
700,2.495,4.988,8.782,1.168,230.229,10.788,0.016,0.154,0.019,258.735
701,2.523,5.011,9.526,1.211,240.841,9.164,0.016,0.169,0.017,268.584
702,3.575,5.153,9.072,1.181,228.629,9.158,0.016,0.15,0.017,257.049
703,2.486,5.025,9.215,1.169,234.608,10.229,0.015,0.147,0.017,263.007
704,2.517,5.0,10.003,1.172,230.996,8.195,0.022,0.256,0.017,258.271
705,2.52,4.985,9.176,1.169,234.623,4.296,0.017,0.156,0.017,257.076
706,2.532,4.994,9.524,1.156,228.375,4.97,0.018,0.155,0.018,251.836
707,2.533,5.07,9.33,1.2,227.737,12.132,0.026,0.165,0.017,258.295
708,2.503,5.067,10.034,1.51,230.375,10.806,0.027,0.212,0.018,260.658
709,2.493,5.137,10.272,1.219,238.191,10.861,0.044,0.166,0.017,268.498
710,2.515,5.133,9.562,1.25,229.891,8.593,0.025,0.172,0.029,257.31
711,3.13,11.726,9.138,1.235,230.321,4.232,0.016,0.146,0.017,260.113
712,2.538,5.144,9.4,1.282,227.759,3.873,0.016,0.137,0.017,250.262
713,3.64,5.491,11.568,1.832,233.062,7.725,0.038,0.264,0.017,263.726
714,2.536,5.12,8.939,1.21,232.783,3.804,0.019,0.162,0.017,254.69
715,2.542,5.192,10.703,1.262,235.348,3.1,0.023,0.177,0.018,258.465
716,2.564,5.138,10.195,1.681,232.896,2.508,0.015,0.142,0.017,255.237
717,2.538,5.141,8.963,1.36,235.833,2.545,0.015,0.144,0.017,256.637
718,2.523,5.175,10.365,1.256,239.011,3.27,0.016,0.181,0.017,261.897
719,2.523,5.136,9.476,1.382,232.796,2.807,0.016,0.142,0.017,254.379
720,2.54,5.203,9.977,1.283,230.324,3.531,0.017,0.143,0.017,253.117
721,2.508,5.179,10.745,1.398,228.881,3.717,0.017,0.143,0.017,252.689
722,2.498,5.172,10.136,1.212,227.713,4.044,0.041,0.162,0.033,251.103
723,2.476,5.174,8.903,1.222,232.677,2.636,0.019,0.168,0.016,253.373
724,5.141,5.117,10.655,1.25,227.107,2.582,0.016,0.205,0.017,252.174
725,2.501,5.109,9.376,1.293,241.758,3.507,0.024,0.196,0.017,263.865
726,2.493,5.081,8.976,1.321,229.639,2.595,0.016,0.155,0.017,250.379
727,2.521,5.079,9.886,1.229,243.037,3.353,0.018,0.166,0.017,265.389
728,3.842,5.38,9.507,1.209,230.166,2.773,0.016,0.191,0.018,253.191
729,2.504,5.048,9.043,1.2,228.591,7.103,0.014,0.292,0.017,253.897
730,2.535,5.021,9.351,1.228,229.545,3.001,0.015,0.153,0.017,250.964
731,2.517,5.046,9.32,1.204,240.804,8.561,0.02,0.165,0.016,267.751
732,2.521,5.066,10.16,1.624,229.19,6.529,0.014,0.157,0.017,255.373
